Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve,Generation
196,Espeon,65,65,60,130,95,110,525,Psychic,,Synchronize,,Magic Bounce,2 SpA,M (87.5%),Field,,45,Morn/Day Friendship,2
197,Umbreon,95,65,110,60,130,65,525,Dark,,Synchronize,,Inner Focus,2 SpD,M (87.5%),Field,,45,Nite Friendship,2
198,Murkrow,60,85,42,85,42,91,405,Dark,Flying,Insomnia,Super Luck,Prankster,1 Spe,Neutral,Flying,,30,,2
199,Slowking,95,75,80,100,110,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,3 SpD,Neutral,Monster,Water 1,70,Trade h/ Kings Rock,2
200,Misdreavus,60,60,60,85,85,85,435,Ghost,,Levitate,,,1 SpD,Neutral,Amorphous,,45,,2
201,Unown,48,72,48,72,48,48,336,Psychic,,Levitate,,,1 Atk/1 SpA,None,-,,225,N,2
202,Wobbuffet,190,33,58,33,58,33,405,Psychic,,Shadow Tag,,Telepathy,2 HP,Neutral,Amorphous,,45,Lv. 15,2
203,Girafarig,70,80,65,90,65,85,455,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,2 SpA,Neutral,Field,,60,N,2
204,Pineco,50,65,90,35,35,15,290,Bug,,Sturdy,,Overcoat,1 Def,Neutral,Bug,,190,,2
205,Forretress,75,90,140,60,60,40,465,Bug,Steel,Sturdy,,Overcoat,2 Def,Neutral,Bug,,75,Lv. 31,2
206,Dunsparce,100,70,70,65,65,45,415,Normal,,Serene Grace,Run Away,Rattled,1 HP,Neutral,Field,,190,N,2
207,Gligar,65,75,105,35,65,85,430,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,1 Def,Neutral,Bug,,60,,2
208,Steelix,75,85,200,55,65,30,510,Steel,Ground,Rock Head,Sturdy,Sheer Force,2 Def,Neutral,Mineral,,25,Trade h/ Metal Coat,2
209,Snubbull,60,80,50,40,40,30,300,Fairy,,Intimidate,Run Away,Rattled,1 Atk,F (75%),Field,Fairy,190,,2
210,Granbull,90,120,75,60,60,45,450,Fairy,,Intimidate,Quick Feet,Rattled,2 Atk,F (75%),Field,Fairy,75,Lv. 23,2
211,Qwilfish,65,95,85,55,55,85,440,Water,Poison,Poison Point,Swift Swim,Intimidate,1 Atk,Neutral,Water 2,,45,N,2
212,Scizor,70,130,100,55,80,65,500,Bug,Steel,Swarm,Technician,Light Metal,2 Atk,Neutral,Bug,,25,Trade h/ Metal Coat,2
213,Shuckle,20,10,230,10,230,5,505,Bug,Rock,Sturdy,Gluttony,Contrary,1 Def/1 SpD,Neutral,Bug,,190,N,2
214,Heracross,80,125,75,40,95,85,500,Bug,Fighting,Swarm,Guts,Moxie,2 Atk,Neutral,Bug,,45,N,2
215,Sneasel,55,95,55,35,75,115,430,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,1 Spe,Neutral,Field,,60,,2
216,Teddiursa,60,80,50,50,50,40,330,Normal,,Pickup,Quick Feet,Honey Gather,1 Atk,Neutral,Field,,120,,2
217,Ursaring,90,130,75,75,75,55,500,Normal,,Guts,Quick Feet,Unnerve,2 Atk,Neutral,Field,,60,Lv. 30,2
218,Slugma,40,40,40,70,40,20,250,Fire,,Magma Armor,Flame Body,Weak Armor,1 SpA,Neutral,Amorphous,,190,,2
219,Magcargo,60,50,120,90,80,30,430,Fire,Rock,Magma Armor,Flame Body,Weak Armor,2 Def,Neutral,Amorphous,,75,Lv. 38,2
220,Swinub,50,50,40,30,30,50,250,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,1 Atk,Neutral,Field,,225,,2
221,Piloswine,100,100,80,60,60,50,450,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,1 HP/1 Atk,Neutral,Field,,75,Lv. 33,2
222,Corsola,65,55,95,65,95,35,410,Water,Rock,Hustle,Natural Cure,Regenerator,1 Def/1 SpD,F (75%),Water 1,Water 3,60,N,2
223,Remoraid,35,65,35,65,35,65,300,Water,,Hustle,Sniper,Moody,1 SpA,Neutral,Water 1,Water 2,190,,2
224,Octillery,75,105,75,105,75,45,480,Water,,Suction Cups,Sniper,Moody,1 Atk/1 SpA,Neutral,Water 1,Water 2,75,Lv. 25,2
225,Delibird,45,55,45,65,45,75,330,Ice,Flying,Vital Spirit,Hustle,Insomnia,1 Spe,Neutral,Water 1,Field,45,N,2
226,Mantine,85,40,70,80,140,70,485,Water,Flying,Swift Swim,Water Absorb,Water Veil,2 SpD,Neutral,Water 1,,25,Level t/ Remoraid,2
227,Skarmory,65,80,140,40,70,70,465,Steel,Flying,Keen Eye,Sturdy,Weak Armor,2 Def,Neutral,Flying,,25,N,2
228,Houndour,45,60,30,80,50,65,330,Dark,Fire,Early Bird,Flash Fire,Unnerve,1 SpA,Neutral,Field,,120,,2
229,Houndoom,75,90,50,110,80,95,500,Dark,Fire,Early Bird,Flash Fire,Unnerve,2 SpA,Neutral,Field,,45,Lv. 24,2
230,Kingdra,75,95,95,95,95,85,540,Water,Dragon,Swift Swim,Sniper,Damp,1 Atk/1 SpA/1 SpD,Neutral,Water 1,Dragon,45,Trade h/ Dragon Scale,2
231,Phanpy,90,60,60,40,40,40,330,Ground,,Pickup,,Sand Veil,1 HP,Neutral,Field,,120,,2
232,Donphan,90,120,120,60,60,50,500,Ground,,Sturdy,,Sand Veil,1 Atk/1 Def,Neutral,Field,,60,Lv. 25,2
233,Porygon2,85,80,90,105,95,60,515,Normal,,Trace,Download,Analytic,2 SpA,None,Mineral,,45,Trade w/ Up-Grade,2
234,Stantler,73,95,62,85,65,85,465,Normal,,Intimidate,Frisk,Sap Sipper,1 Atk,Neutral,Field,,45,N,2
235,Smeargle,55,20,35,20,45,75,250,Normal,,Own Tempo,Technician,Moody,1 Spe,Neutral,Field,,45,N,2
236,Tyrogue,35,35,35,35,35,35,210,Fighting,,Guts,Steadfast,Vital Spirit,1Atk,M (100%),-,,75,,2
237,Hitmontop,50,95,95,35,110,70,455,Fighting,,Intimidate,Technician,Steadfast,2 SpD,M (100%),Human-Like,,45,Lv. 20 (Atk=Def),2
238,Smoochum,45,30,15,85,65,65,305,Ice,Psychic,Oblivious,Forewarn,Hydration,1 SpA,F (100%),-,,45,,2
239,Elekid,45,63,37,65,55,95,360,Electric,,Static,,Vital Spirit,1 Spe,M (75%),-,,45,,2
240,Magby,45,75,37,70,55,83,365,Fire,,Flame Body,,Vital Spirit,1 Spe,M (75%),-,,45,,2
241,Miltank,95,80,105,40,70,100,490,Normal,,Thick Fat,Scrappy,Sap Sipper,2 Def,F (100%),Field,,45,N,2
242,Blissey,255,10,10,75,135,55,540,Normal,,Natural Cure,Serene Grace,Healer,3 HP,F (100%),Fairy,,30,Friendship,2
243,Raikou,90,85,75,115,100,115,580,Electric,,Pressure,,Inner Focus,1 SpA/2 Spe,None,-,,3,N,2
244,Entei,115,115,85,90,75,100,580,Fire,,Pressure,,Inner Focus,1 HP/2 Atk,None,-,,3,N,2
245,Suicune,100,75,115,90,115,85,580,Water,,Pressure,,Inner Focus,1 Def/2 SpD,None,-,,3,N,2
246,Larvitar,50,64,50,45,50,41,300,Rock,Ground,Guts,,Sand Veil,1 Atk,Neutral,Monster,,45,,2
247,Pupitar,70,84,70,65,70,51,410,Rock,Ground,Shed Skin,,,2 Atk,Neutral,Monster,,45,Lv. 30,2
248,Tyranitar,100,134,110,95,100,61,600,Rock,Dark,Sand Stream,,Unnerve,3 Atk,Neutral,Monster,,45,Lv. 55,2
249,Lugia,106,90,130,90,154,110,680,Psychic,Flying,Pressure,,Multiscale,3 SpD,None,-,,3,N,2
250,Ho-oh,106,130,90,110,154,90,680,Fire,Flying,Pressure,,Regenerator,3 SpD,None,-,,3,N,2
251,Celebi,100,100,100,100,100,100,600,Psychic,Grass,Natural Cure,,,3 HP,None,-,,45,N,2
252,Treecko,40,45,35,65,55,70,310,Grass,,Overgrow,,Unburden,1 Spe,M (87.5%),Monster,Dragon,45,,3
253,Grovyle,50,65,45,85,65,95,405,Grass,,Overgrow,,Unburden,2 Spe,M (87.5%),Monster,Dragon,45,Lv. 16,3
254,Sceptile,70,85,65,105,85,120,530,Grass,,Overgrow,,Unburden,3 Spe,M (87.5%),Monster,Dragon,45,Lv. 36,3
255,Torchic,45,60,40,70,50,45,310,Fire,,Blaze,,Speed Boost,1 SpA,M (87.5%),Field,,45,,3
256,Combusken,60,85,60,85,60,55,405,Fire,Fighting,Blaze,,Speed Boost,1 Atk/1 SpA,M (87.5%),Field,,45,Lv. 16,3
257,Blaziken,80,120,70,110,70,80,530,Fire,Fighting,Blaze,,Speed Boost,3 Atk,M (87.5%),Field,,45,Lv. 36,3
258,Mudkip,50,70,50,50,50,40,310,Water,,Torrent,,Damp,1 Atk,M (87.5%),Monster,Water 1,45,,3
259,Marshtomp,70,85,70,60,70,50,405,Water,Ground,Torrent,,Damp,2 Atk,M (87.5%),Monster,Water 1,45,Lv. 16,3
260,Swampert,100,110,90,85,90,60,535,Water,Ground,Torrent,,Damp,3 Atk,M (87.5%),Monster,Water 1,45,Lv. 36,3
261,Poochyena,35,55,35,30,30,35,220,Dark,,Run Away,Quick Feet,Rattled,1 Atk,Neutral,Field,,255,,3
262,Mightyena,70,90,70,60,60,70,420,Dark,,Intimidate,Quick Feet,Moxie,2 Atk,Neutral,Field,,127,Lv. 18,3
263,Zigzagoon,38,30,41,30,41,60,240,Normal,,Pickup,Gluttony,Quick Feet,1 Spe,Neutral,Field,,255,,3
264,Linoone,78,70,61,50,61,100,420,Normal,,Pickup,Gluttony,Quick Feet,2 Spe,Neutral,Field,,90,Lv. 20,3
265,Wurmple,45,45,35,20,30,20,195,Bug,,Shield Dust,,Run Away,1 HP,Neutral,Bug,,255,,3
266,Silcoon,50,35,55,25,25,15,205,Bug,,Shed Skin,,,2 Def,Neutral,Bug,,120,Lv. 7,3
267,Beautifly,60,70,50,100,50,65,395,Bug,Flying,Swarm,,Rivalry,3 SpA,Neutral,Bug,,45,Lv. 10,3
268,Cascoon,50,35,55,25,25,15,205,Bug,,Shed Skin,,,2 Def,Neutral,Bug,,120,Lv. 7,3
269,Dustox,60,50,70,50,90,65,385,Bug,Poison,Shield Dust,,Compound Eyes,3 SpD,Neutral,Bug,,45,Lv. 10,3
270,Lotad,40,30,30,40,50,30,220,Water,Grass,Swift Swim,Rain Dish,Own Tempo,1 SpD,Neutral,Water 1,Grass,255,,3
271,Lombre,60,50,50,60,70,50,340,Water,Grass,Swift Swim,Rain Dish,Own Tempo,2 SpD,Neutral,Water 1,Grass,120,Lv. 14,3
272,Ludicolo,80,70,70,90,100,70,480,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3 SpD,Neutral,Water 1,Grass,45,Water Stone,3
273,Seedot,40,40,50,30,30,30,220,Grass,,Chlorophyll,Early Bird,Pickpocket,1 Def,Neutral,Field,Grass,255,,3
274,Nuzleaf,70,70,40,60,40,60,340,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,2 Atk,Neutral,Field,Grass,120,Lv. 14,3
275,Shiftry,90,100,60,90,60,80,480,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3 Atk,Neutral,Field,Grass,45,Leaf Stone,3
276,Taillow,40,55,30,30,30,85,270,Normal,Flying,Guts,,Scrappy,1 Spe,Neutral,Flying,,200,,3
277,Swellow,60,85,60,75,50,125,455,Normal,Flying,Guts,,Scrappy,2 Spe,Neutral,Flying,,45,Lv. 22,3
278,Wingull,40,30,30,55,30,85,270,Water,Flying,Keen Eye,,Rain Dish,1 Spe,Neutral,Water 1,Flying,190,,3
279,Pelipper,60,50,100,95,70,65,440,Water,Flying,Keen Eye,,Rain Dish,2 Def,Neutral,Water 1,Flying,45,Lv. 25,3
280,Ralts,28,25,25,45,35,40,198,Psychic,Fairy,Synchronize,Trace,Pixilate,1 SpA,Neutral,Human-Like,Amorphous,235,,3
281,Kirlia,38,35,35,65,55,50,278,Psychic,Fairy,Synchronize,Trace,Pixilate,2 SpA,Neutral,Human-Like,Amorphous,120,Lv. 20,3
282,Gardevoir,68,65,65,125,115,80,518,Psychic,Fairy,Synchronize,Trace,Pixilate,3 SpA,Neutral,Human-Like,Amorphous,45,Lv. 30,3
283,Surskit,40,30,32,50,52,65,269,Bug,Water,Swift Swim,,Rain Dish,1 Spe,Neutral,Water 1,Bug,200,,3
284,Masquerain,70,60,62,100,82,80,454,Bug,Flying,Intimidate,,Unnerve,1 SpA/1 SpD,Neutral,Water 1,Bug,75,Lv. 22,3
285,Shroomish,60,40,60,40,60,35,295,Grass,,Effect Spore,Poison Heal,Quick Feet,1 HP,Neutral,Fairy,Grass,255,,3
286,Breloom,60,130,80,60,60,70,460,Grass,Fighting,Effect Spore,Poison Heal,Technician,2 Atk,Neutral,Fairy,Grass,90,Lv. 23,3
287,Slakoth,60,60,60,35,35,30,280,Normal,,Truant,,,1 HP,Neutral,Field,,255,,3
288,Vigoroth,80,80,80,55,55,90,440,Normal,,Vital Spirit,,,2 Spe,Neutral,Field,,120,Lv. 18,3
289,Slaking,150,160,100,95,65,100,670,Normal,,Truant,,,3 HP,Neutral,Field,,45,Lv. 36,3
290,Nincada,31,45,90,30,30,40,266,Bug,Ground,Compoundeyes,,Run Away,1 Def,Neutral,Bug,,255,,3
291,Ninjask,61,90,45,50,50,160,456,Bug,Flying,Speed Boost,,Infiltrator,2 Spe,Neutral,Bug,,120,Lv. 20,3
292,Shedinja,1,90,45,30,30,40,236,Bug,Ghost,Wonder Guard,,,2 HP,None,Mineral,,45,Lv. 20 t/ Empty Space,3
293,Whismur,64,51,23,51,23,28,240,Normal,,Soundproof,,Rattled,1 HP,Neutral,Monster,Field,190,,3
294,Loudred,84,71,43,71,43,48,360,Normal,,Soundproof,,Scrappy,2 HP,Neutral,Monster,Field,120,Lv. 20,3
295,Exploud,104,91,63,91,73,68,490,Normal,,Soundproof,,Scrappy,3 HP,Neutral,Monster,Field,45,Lv. 40,3
296,Makuhita,72,60,30,20,30,25,237,Fighting,,Thick Fat,Guts,Sheer Force,1 HP,M (75%),Human-Like,,180,,3
297,Hariyama,144,120,60,40,60,50,474,Fighting,,Thick Fat,Guts,Sheer Force,2 HP,M (75%),Human-Like,,200,Lv. 24,3
298,Azurill,50,20,40,20,40,20,190,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,1 HP,Neutral,-,,150,,3
299,Nosepass,30,45,135,45,90,30,375,Rock,,Sturdy,Magnet Pull,Sand Force,1 Def,Neutral,Mineral,,255,,3
300,Skitty,50,45,45,35,35,50,260,Normal,,Cute Charm,Normalize,Wonder Skin,1 Spe,F (75%),Field,Fairy,255,,3
301,Delcatty,70,65,65,55,55,90,400,Normal,,Cute Charm,Normalize,Wonder Skin,1 HP/1 Spe,F (75%),Field,Fairy,60,Moon Stone,3
302,Sableye,50,75,75,65,65,50,380,Dark,Ghost,Keen Eye,Stall,Prankster,1 Atk/1 Def,Neutral,Human-Like,,45,N,3
303,Mawile,50,85,85,55,55,50,380,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,1 Atk/1 Def,Neutral,Field,Fairy,45,N,3
304,Aron,50,70,100,40,40,30,330,Steel,Rock,Sturdy,Rock Head,Heavy Metal,1 Def,Neutral,Monster,,180,,3
305,Lairon,60,90,140,50,50,40,430,Steel,Rock,Sturdy,Rock Head,Heavy Metal,2 Def,Neutral,Monster,,90,Lv. 32,3
306,Aggron,70,110,180,60,60,50,530,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3 Def,Neutral,Monster,,45,Lv. 42,3
307,Meditite,30,40,55,40,55,60,280,Fighting,Psychic,Pure Power,,Telepathy,1 Spe,Neutral,Human-Like,,180,,3
308,Medicham,60,60,75,60,75,80,410,Fighting,Psychic,Pure Power,,Telepathy,2 Spe,Neutral,Human-Like,,90,Lv. 37,3
309,Electrike,40,45,40,65,40,65,295,Electric,,Static,Lightningrod,Minus,1 Spe,Neutral,Field,,120,,3
310,Manectric,70,75,60,105,60,105,475,Electric,,Static,Lightningrod,Minus,2 Spe,Neutral,Field,,45,Lv. 26,3
311,Plusle,60,50,40,85,75,95,405,Electric,,Plus,,Lightning Rod,1 Spe,Neutral,Fairy,,200,N,3
312,Minun,60,40,50,75,85,95,405,Electric,,Minus,,Volt Absorb,1 Spe,Neutral,Fairy,,200,N,3
313,Volbeat,65,73,75,47,85,85,430,Bug,,Illuminate,Swarm,Prankster,1 Spe,M (100%),Bug,Human-Like,150,N,3
314,Illumise,65,47,75,73,85,85,430,Bug,,Oblivious,Tinted Lens,Prankster,1 Spe,F (100%),Bug,Human-Like,150,N,3
315,Roselia,50,60,45,100,80,65,400,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,2 SpA,Neutral,Fairy,Grass,150,Morn/Day Friendship,3
316,Gulpin,70,43,53,43,53,40,302,Poison,,Liquid Ooze,Sticky Hold,Gluttony,1 HP,Neutral,Amorphous,,225,,3
317,Swalot,100,73,83,73,83,55,467,Poison,,Liquid Ooze,Sticky Hold,Gluttony,2 HP,Neutral,Amorphous,,75,Lv. 26,3
318,Carvanha,45,90,20,65,20,65,305,Water,Dark,Rough Skin,,Speed Boost,1 Atk,Neutral,Water 2,,225,,3
319,Sharpedo,70,120,40,95,40,95,460,Water,Dark,Rough Skin,,Speed Boost,2 Atk,Neutral,Water 2,,60,Lv. 30,3
320,Wailmer,130,70,35,70,35,60,400,Water,,Water Veil,Oblivious,Pressure,1 HP,Neutral,Field,Water 2,125,,3
321,Wailord,170,90,45,90,45,60,500,Water,,Water Veil,Oblivious,Pressure,2 HP,Neutral,Field,Water 2,60,Lv. 40,3
322,Numel,60,60,40,65,45,35,305,Fire,Ground,Oblivious,Simple,Own Tempo,1 SpA,Neutral,Field,,255,,3
323,Camerupt,70,100,70,105,75,40,460,Fire,Ground,Magma Armor,Solid Rock,Anger Point,1 Atk/1 SpA,Neutral,Field,,150,Lv. 33,3
324,Torkoal,70,85,140,85,70,20,470,Fire,,White Smoke,Drought,Shell Armor,2 Def,Neutral,Field,,90,N,3
325,Spoink,60,25,35,70,80,60,330,Psychic,,Thick Fat,Own Tempo,Gluttony,1 SpD,Neutral,Field,,255,,3
326,Grumpig,80,45,65,90,110,80,470,Psychic,,Thick Fat,Own Tempo,Gluttony,2 SpD,Neutral,Field,,60,Lv. 32,3
327,Spinda,60,60,60,60,60,60,360,Normal,,Own Tempo,Tangled Feet,Contrary,1 SpA,Neutral,Field,Human-Like,255,N,3
328,Trapinch,45,100,45,45,45,10,290,Ground,,Hyper Cutter,Arena Trap,Sheer Force,1 Atk,Neutral,Bug,Dragon,255,,3
329,Vibrava,50,70,50,50,50,70,340,Ground,Dragon,Levitate,,,1 Atk/1 Spe,Neutral,Bug,Dragon,120,Lv. 35,3
330,Flygon,80,100,80,80,80,100,520,Ground,Dragon,Levitate,,,1 Atk/2 Spe,Neutral,Bug,Dragon,45,Lv. 45,3
331,Cacnea,50,85,40,85,40,35,335,Grass,,Sand Veil,,Water Absorb,1 SpA,Neutral,Grass,Human-Like,190,,3
332,Cacturne,70,115,60,115,60,55,475,Grass,Dark,Sand Veil,,Water Absorb,1 Atk/1 SpA,Neutral,Grass,Human-Like,60,Lv. 32,3
333,Swablu,45,40,60,40,75,50,310,Normal,Flying,Natural Cure,,Cloud Nine,1 SpD,Neutral,Flying,Dragon,255,,3
334,Altaria,75,70,90,70,105,80,490,Dragon,Flying,Natural Cure,,Cloud Nine,2 SpD,Neutral,Flying,Dragon,45,Lv. 35,3
335,Zangoose,73,115,60,60,60,90,458,Normal,,Immunity,,Toxic Boost,2 Atk,Neutral,Field,,90,N,3
336,Seviper,73,100,60,100,60,65,458,Poison,,Shed Skin,,Infiltrator,1 Atk/1 SpA,Neutral,Field,Dragon,90,N,3
337,Lunatone,90,55,65,95,85,70,460,Rock,Psychic,Levitate,,,2 SpA,None,Mineral,,45,N,3
338,Solrock,90,95,85,55,65,70,460,Rock,Psychic,Levitate,,,2 Atk,None,Mineral,,45,N,3
339,Barboach,50,48,43,46,41,60,288,Water,Ground,Oblivious,Anticipate,Hydration,1 HP,Neutral,Water 2,,190,,3
340,Whiscash,110,78,73,76,71,60,468,Water,Ground,Oblivious,Anticipate,Hydration,2 HP,Neutral,Water 2,,75,Lv. 30,3
341,Corphish,43,80,65,50,35,35,308,Water,,Hyper Cutter,Shell Armor,Adaptability,1 Atk,Neutral,Water 1,Water 3,205,,3
342,Crawdaunt,63,120,85,90,55,55,468,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,2 Atk,Neutral,Water 1,Water 3,155,Lv. 30,3
343,Baltoy,40,40,55,40,70,55,300,Ground,Psychic,Levitate,,,1 SpD,None,Mineral,,255,,3
344,Claydol,60,70,105,70,120,75,500,Ground,Psychic,Levitate,,,2 SpD,None,Mineral,,90,Lv. 36,3
345,Lileep,66,41,77,61,87,23,355,Rock,Grass,Suction Cups,,Storm Drain,1 SpD,M (87.5%),Water 3,,45,,3
346,Cradily,86,81,97,81,107,43,495,Rock,Grass,Suction Cups,,Storm Drain,2 SpD,M (87.5%),Water 3,,45,Lv. 40,3
347,Anorith,45,95,50,40,50,75,355,Rock,Bug,Battle Armor,,Swift Swim,1 Atk,M (87.5%),Water 3,,45,,3
348,Armaldo,75,125,100,70,80,45,495,Rock,Bug,Battle Armor,,Swift Swim,2 Atk,M (87.5%),Water 3,,45,Lv. 40,3
349,Feebas,20,15,20,10,55,80,200,Water,,Swift Swim,,Adaptability,1 Spe,Neutral,Water 1,Dragon,255,,3
350,Milotic,95,60,79,100,125,81,540,Water,,Marvel Scale,,Cute Charm,2 SpD,Neutral,Water 1,Dragon,60,Level w/ Max Beauty,3
351,Castform,70,70,70,70,70,70,420,Normal,,Forecast,,,1 HP,Neutral,Fairy,Amorphous,45,N,3
352,Kecleon,60,90,70,60,120,40,440,Normal,,Color Change,,Protean,1 SpD,Neutral,Field,,200,N,3
353,Shuppet,44,75,35,63,33,45,295,Ghost,,Insomnia,Frisk,Cursed Body,1 Atk,Neutral,Amorphous,,225,,3
354,Banette,64,115,65,83,63,65,455,Ghost,,Insomnia,Frisk,Cursed Body,2 Atk,Neutral,Amorphous,,45,Lv. 37,3
355,Duskull,20,40,90,30,90,25,295,Ghost,,Levitate,,Frisk,1 SpD,Neutral,Amorphous,,190,,3
356,Dusclops,40,70,130,60,130,25,455,Ghost,,Pressure,,Frisk,1 Def/1 SpD,Neutral,Amorphous,,90,Lv. 37,3
357,Tropius,99,68,83,72,87,51,460,Grass,Flying,Chlorophyll,Solar Power,Harvest,2 HP,Neutral,Monster,Grass,200,N,3
358,Chimecho,75,50,80,95,90,65,455,Psychic,,Levitate,,,1 SpA/1 SpD,Neutral,Amorphous,,45,Nite Friendship,3
359,Absol,65,130,60,75,60,75,465,Dark,,Pressure,Super Luck,Justified,2 Atk,Neutral,Field,,30,N,3
360,Wynaut,95,23,48,23,48,23,260,Psychic,,Shadow Tag,,Telepathy,1 HP,Neutral,-,,125,,3
361,Snorunt,50,50,50,50,50,50,300,Ice,,Inner Focus,Ice Body,Moody,1 HP,Neutral,Fairy,Mineral,190,,3
362,Glalie,80,80,80,80,80,80,480,Ice,,Inner Focus,Ice Body,Moody,2 HP,Neutral,Fairy,Mineral,75,Lv. 42,3
363,Spheal,70,40,50,55,50,25,290,Ice,Water,Thick Fat,Ice Body,Oblivious,1 HP,Neutral,Water 1,Field,255,,3
364,Sealeo,90,60,70,75,70,45,410,Ice,Water,Thick Fat,Ice Body,Oblivious,2 HP,Neutral,Water 1,Field,120,Lv. 32,3
365,Walrein,110,80,90,95,90,65,530,Ice,Water,Thick Fat,Ice Body,Oblivious,3 HP,Neutral,Water 1,Field,45,Lv. 44,3
366,Clamperl,35,64,85,74,55,32,345,Water,,Shell Armor,,Rattled,1 Def,Neutral,Water 1,,255,,3
367,Huntail,55,104,105,94,75,52,485,Water,,Swift Swim,,Water Veil,1 Atk/1 Def,Neutral,Water 1,,60,Trade w/ Deepseatooth,3
368,Gorebyss,55,84,105,114,75,52,485,Water,,Swift Swim,,Hydration,2 SpA,Neutral,Water 1,,60,Trade w/ Deepseascale,3
369,Relicanth,100,90,130,45,65,55,485,Water,Rock,Swift Swim,Rock Head,Sturdy,1 HP/1 Def,M (87.5%),Water 1,Water 2,25,N,3
370,Luvdisc,43,30,55,40,65,97,330,Water,,Swift Swim,,Hydration,1 Spe,F (75%),Water 2,,225,N,3
371,Bagon,45,75,60,40,30,50,300,Dragon,,Rock Head,,Sheer Force,1 Atk,Neutral,Dragon,,45,,3
372,Shelgon,65,95,100,60,50,50,420,Dragon,,Rock Head,,Overcoat,2 Def,Neutral,Dragon,,45,Lv. 30,3
373,Salamence,95,135,80,110,80,100,600,Dragon,Flying,Intimidate,,Moxie,3 Atk,Neutral,Dragon,,45,Lv. 50,3
374,Beldum,40,55,80,35,60,30,300,Steel,Psychic,Clear Body,,Light Metal,1 Def,None,Mineral,,3,,3
375,Metang,60,75,100,55,80,50,420,Steel,Psychic,Clear Body,,Light Metal,2 Def,None,Mineral,,3,Lv. 20,3
376,Metagross,80,135,130,95,90,70,600,Steel,Psychic,Clear Body,,Light Metal,3 Def,None,Mineral,,3,Lv. 45,3
377,Regirock,80,100,200,50,100,50,580,Rock,,Clear Body,,Sturdy,3 Def,None,-,,3,N,3
378,Regice,80,50,100,100,200,50,580,Ice,,Clear Body,,Ice Body,3 SpD,None,-,,3,N,3
379,Registeel,80,75,150,75,150,50,580,Steel,,Clear Body,,Light Metal,2 Def/1 SpD,None,-,,3,N,3
380,Latias,80,80,90,110,130,110,600,Dragon,Psychic,Levitate,,,3 SpD,F (100%),-,,3,N,3
381,Latios,80,90,80,130,110,110,600,Dragon,Psychic,Levitate,,,3 SpA,M (100%),-,,3,N,3
382,Kyogre,100,100,90,150,140,90,670,Water,,Drizzle,,,3 SpA,None,-,,3,N,3
383,Groudon,100,150,140,100,90,90,670,Ground,,Drought,,,3 Atk,None,-,,3,N,3
384,Rayquaza,105,150,90,150,90,95,680,Dragon,Flying,Air Lock,,,2 Atk/1 SpA,None,-,,45,N,3
385,Jirachi,100,100,100,100,100,100,600,Steel,Psychic,Serene Grace,,,3 HP,None,-,,3,N,3
386,Deoxys (N),50,150,50,150,50,150,600,Psychic,,Pressure,,,1 Atk/1 SpA/1 Spe,None,-,,3,N,3
387,Turtwig,55,68,64,45,55,31,318,Grass,,Overgrow,,Shell Armor,1 Atk,M (87.5%),Monster,Grass,45,,4
388,Grotle,75,89,85,55,65,36,405,Grass,,Overgrow,,Shell Armor,1 Atk/1 Def,M (87.5%),Monster,Grass,45,Lv. 18,4
389,Torterra,95,109,105,75,85,56,525,Grass,Ground,Overgrow,,Shell Armor,2 Atk/1 Def,M (87.5%),Monster,Grass,45,Lv. 32,4
390,Chimchar,44,58,44,58,44,61,309,Fire,,Blaze,,Iron Fist,1 Spe,M (87.5%),Field,Human-Like,45,,4
391,Monferno,64,78,52,78,52,81,405,Fire,Fighting,Blaze,,Iron Fist,1 Spe/1 SpA,M (87.5%),Field,Human-Like,45,Lv. 14,4
392,Infernape,76,104,71,104,71,108,534,Fire,Fighting,Blaze,,Iron Fist,1 Atk/1 SpA/1 Spe,M (87.5%),Field,Human-Like,45,Lv. 36,4
393,Piplup,53,51,53,61,56,40,314,Water,,Torrent,,Defiant,1 SpA,M (87.5%),Water 1,Field,45,,4
394,Prinplup,64,66,68,81,76,50,405,Water,,Torrent,,Defiant,2 SpA,M (87.5%),Water 1,Field,45,Lv. 16,4
395,Empoleon,84,86,88,111,101,60,530,Water,Steel,Torrent,,Defiant,3 SpA,M (87.5%),Water 1,Field,45,Lv. 36,4
